codigoine,distrito,concelho,freguesia
1106,LISBOA,LISBOA,Parque das Nações
1106,LISBOA,LISBOA,Penha de França
1106,LISBOA,LISBOA,Santa Clara
1106,LISBOA,LISBOA,Santa Maria Maior
1106,LISBOA,LISBOA,Santo António
1106,LISBOA,LISBOA,São Domingos de Benfica
1106,LISBOA,LISBOA,São Vicente
1107,LISBOA,LOURES,Bucelas
1107,LISBOA,LOURES,Fanhões
1107,LISBOA,LOURES,Loures
1107,LISBOA,LOURES,Lousa
1107,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação"
1107,LISBOA,LOURES,União das freguesias de Moscavide e Portela
1107,LISBOA,LOURES,União das freguesias de Sacavém e Prior Velho
1107,LISBOA,LOURES,"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela"
1107,LISBOA,LOURES,União das freguesias de Santo Antão e São Julião do Tojal
1107,LISBOA,LOURES,União das freguesias de Santo António dos Cavaleiros e Frielas
1108,LISBOA,LOURINHÃ,Atalaia
1108,LISBOA,LOURINHÃ,Lourinhã
1108,LISBOA,LOURINHÃ,Moita dos Ferreiros
1108,LISBOA,LOURINHÃ,Reguengo Grande
1108,LISBOA,LOURINHÃ,Ribamar
1108,LISBOA,LOURINHÃ,Santa Bárbara
1108,LISBOA,LOURINHÃ,União das freguesias de Miragaia e Marteleira
1108,LISBOA,LOURINHÃ,União das freguesias de São Bartolomeu dos Galegos e Moledo
1108,LISBOA,LOURINHÃ,Vimeiro
1109,LISBOA,MAFRA,Carvoeira
1109,LISBOA,MAFRA,Encarnação
1109,LISBOA,MAFRA,Ericeira
1109,LISBOA,MAFRA,Mafra
1109,LISBOA,MAFRA,Milharado
1109,LISBOA,MAFRA,Santo Isidoro
1109,LISBOA,MAFRA,União das freguesias de Azueira e Sobral da Abelheira
1109,LISBOA,MAFRA,"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário"
1109,LISBOA,MAFRA,União das freguesias de Igreja Nova e Cheleiros
1109,LISBOA,MAFRA,União das freguesias de Malveira e São Miguel de Alcainça
1109,LISBOA,MAFRA,União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés
1116,LISBOA,ODIVELAS,Odivelas
1116,LISBOA,ODIVELAS,União das freguesias de Pontinha e Famões
1116,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto
1116,LISBOA,ODIVELAS,União das freguesias de Ramada e Caneças
1110,LISBOA,OEIRAS,Barcarena
1110,LISBOA,OEIRAS,Porto Salvo
1110,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
1110,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas
1110,LISBOA,OEIRAS,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
1111,LISBOA,SINTRA,Algueirão-Mem Martins
1111,LISBOA,SINTRA,Almargem do Bispo
1111,LISBOA,SINTRA,Belas
1111,LISBOA,SINTRA,Casal de Cambra
1111,LISBOA,SINTRA,Colares
1111,LISBOA,SINTRA,Montelavar
1111,LISBOA,SINTRA,Pêro Pinheiro
1111,LISBOA,SINTRA,Queluz
1111,LISBOA,SINTRA,Rio de Mouro
1111,LISBOA,SINTRA,São João das Lampas
1111,LISBOA,SINTRA,Terrugem
1111,LISBOA,SINTRA,União das freguesias de Agualva e Mira-Sintra
1111,LISBOA,SINTRA,União das freguesias de Massamá e Monte Abraão
1111,LISBOA,SINTRA,"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)"
1111,LISBOA,SINTRA,União das freguesias do Cacém e São Marcos
1112,LISBOA,SOBRAL DE MONTE AGRAÇO,Santo Quintino
1112,LISBOA,SOBRAL DE MONTE AGRAÇO,Sapataria
1112,LISBOA,SOBRAL DE MONTE AGRAÇO,Sobral de Monte Agraço
1113,LISBOA,TORRES VEDRAS,A dos Cunhados
1113,LISBOA,TORRES VEDRAS,Dois Portos
1113,LISBOA,TORRES VEDRAS,Freiria
1113,LISBOA,TORRES VEDRAS,Maceira
1113,LISBOA,TORRES VEDRAS,Ponte do Rol
1113,LISBOA,TORRES VEDRAS,Ramalhal
1113,LISBOA,TORRES VEDRAS,Runa
1113,LISBOA,TORRES VEDRAS,"Santa Maria, São Pedro e Matacães"
1113,LISBOA,TORRES VEDRAS,Silveira
1113,LISBOA,TORRES VEDRAS,São Pedro da Cadeira
1113,LISBOA,TORRES VEDRAS,Turcifal
1113,LISBOA,TORRES VEDRAS,União das freguesias de Campelos e Outeiro da Cabeça
1113,LISBOA,TORRES VEDRAS,União das freguesias de Carvoeira e Carmões
1113,LISBOA,TORRES VEDRAS,União das freguesias de Maxial e Monte Redondo
1113,LISBOA,TORRES VEDRAS,Ventosa
1114,LISBOA,VILA FRANCA DE XIRA,"União das freguesias de Alhandra, São João dos Montes e Calhandriz"
1114,LISBOA,VILA FRANCA DE XIRA,União das freguesias de Alverca do Ribatejo e Sobralinho
1114,LISBOA,VILA FRANCA DE XIRA,União das freguesias de Castanheira do Ribatejo e Cachoeiras
1114,LISBOA,VILA FRANCA DE XIRA,União das freguesias de Póvoa de Santa Iria e Forte da Casa
1114,LISBOA,VILA FRANCA DE XIRA,Vialonga
1114,LISBOA,VILA FRANCA DE XIRA,Vila Franca de Xira
